"test_text_1" "test_text_2" "test_text_3" "test_text_4" "test_text_5"
"многих" 0.05 0.05 0.05 0 0
"множество" 0 0 0 0 0
"мог" 0 0 0 0 0
"молодая" 0 0 0 0 0
"москва" 0 0 0 0 0
"мотивации" 0 0 0 0 0
"муж" 0 0 0 0 0
"муравья" 0 0 0 0 0
"надежды" 0 0 0 0 0
"назад" 0 0 0.05 0.05 0.05
"названием" 0 0 0 0 0
"назвать" 0 0 0 0 0
"нама" 0 0 0 0 0
"написал" 0 0 0 0 0
"направлении" 0 0 0 0 0
"напряжение" 0 0 0 0 0
"напряжении" 0 0 0 0 0
"настолько" 0.05 0.1 0.2 0.2 0.2
"находит" 0.05 0 0 0 0
"находят" 0 0 0 0 0
"начинает" 0.1 0.05 0.05 0.1 0.1
"начиная" 0 0 0 0 0
"недавно" 0 0 0 0 0
"неделю" 0 0 0 0 0
"неё" 0 0 0 0 0
"некоторую" 0 0 0 0 0
"некоторые" 0 0 0 0 0
"немногословного" 0 0 0 0 0
"необязательный" 0 0 0 0 0
"нечаянно" 0 0 0 0 0
"никак" 0 0 0 0 0
"никогда" 0 0 0 0 0
"новым" 0 0 0 0 0
"нужно" 0.05 0.05 0.05 0.05 0
"нурулин" 0 0 0 0 0
"обошлось" 0 0 0 0 0
"образе" 0 0 0 0 0
"образов" 0 0.05 0.05 0.05 0.05
"обязательно" 0 0 0 0 0
"одиночки" 0 0 0 0 0
"одиссее" 0 0 0 0 0
"однако" 0.25 0.3 0.25 0.2 0.15
"одном" 0 0 0 0 0
"око" 0 0 0 0 0
"окружение" 0 0 0 0 0
"оно" 0 0.05 0.05 0.05 0.1
"опытный" 0 0 0 0 0
"опять" 0 0 0 0 0
"основанная" 0 0 0 0 0
"основной" 0 0 0 0 0
"оставляя" 0 0 0 0 0
"остается" 0 0 0 0 0
"осталось" 0 0 0 0 0
"остальное" 0 0 0 0 0
"острове" 0 0 0 0 0
"островов" 0 0 0 0 0
"отец" 0 0 0 0 0
"отличие" 0.1 0.05 0.05 0 0
"отметим" 0 0 0 0 0
"отрефлексировать" 0 0 0 0 0
"отряда" 0 0 0 0 0
"отсутствие" 0 0 0 0 0
"отцов" 0 0 0 0 0
"очередная" 0 0 0 0 0
"пак" 0 0 0 0 0
"паразитов" 0 0 0 0 0
"первом" 0 0.05 0.05 0.05 0.05
"первым" 0 0.05 0.1 0.1 0.1
"пересмотрят" 0 0 0 0 0
"персонаж" 0.05 0 0 0 0
"персонажами" 0.1 0.1 0.05 0.05 0
"песен" 0 0 0 0 0
"пещеры" 0 0 0 0 0
"писал" 0 0 0 0 0
"писателя" 0 0 0 0 0
"плана" 0 0 0 0 0
"планете" 0 0 0 0 0
"планов" 0 0 0 0 0
"плохих" 0 0 0 0 0
"повествования" 0.05 0.05 0 0 0
"повстанцев" 0 0 0 0 0
"поговорить" 0 0 0 0 0
"подобные" 0 0 0 0 0
"позволяет" 0.05 0.05 0.05 0 0
"показывает" 0 0 0 0 0
"поклонники" 0 0 0 0 0
"поклонников" 0 0 0 0 0
"поколения" 0 0 0 0 0
"положение" 0 0 0 0 0
"получает" 0.15 0.1 0.05 0.05 0
"получается" 0 0.1 0.1 0.1 0.1
"получилось" 0 0 0 0 0
"пользу" 0 0 0 0 0
"помогает" 0.05 0.05 0.05 0.05 0
"помощью" 0 0 0 0 0
"понравиться" 0 0 0 0 0
"попали" 0 0 0 0 0
"посох" 0 0 0 0 0
"поставлены" 0 0 0 0 0
"постановщик" 0 0 0 0 0
"посыл" 0.05 0.05 0.05 0 0
"правительства" 0 0 0 0 0
"правительство" 0 0 0 0 0
"превратился" 0 0 0 0 0
"превратить" 0 0 0 0 0
"представители" 0.05 0 0 0 0
"представлены" 0 0 0 0 0
"представляет" 0 0 0 0 0
"предыдущих" 0 0 0 0 0
"прерывается" 0 0 0 0 0
"преследование" 0 0 0 0 0
"привлекает" 0 0 0 0 0
"приезжает" 0 0 0 0 0
"призраки" 0 0 0 0 0
"приятной" 0 0 0 0 0
"проблемы" 0 0 0 0 0
"продолжает" 0 0 0 0 0.05
"продуктивно" 0 0 0 0 0
"проект" 0 0 0 0 0.05
"происхождения" 0.05 0.05 0 0 0
"просмотра" 0 0 0 0.05 0.05
"просмотру" 0 0 0 0 0
"простой" 0 0 0 0 0
"пространство" 0 0 0 0 0
"против" 0 0 0 0 0
"протяжении" 0 0 0 0 0
"проходит" 0 0 0 0 0
"прошедших" 0 0 0 0 0
"прошлого" 0.05 0.05 0.05 0 0
"прямом" 0 0 0 0 0
"пусть" 0.05 0.05 0 0 0
"пытаются" 0 0 0 0 0
"пытки" 0 0 0 0 0
"пять" 0 0 0 0 0
"работа" 0 0 0 0 0
"работает" 0.05 0.05 0.05 0.05 0
"работал" 0 0 0 0 0
"работе" 0 0 0 0 0
"развязка" 0 0 0 0 0
"разговоры" 0 0 0 0 0
"разные" 0 0.05 0.05 0.05 0.05
"райан" 0 0 0 0 0
"ранчо" 0 0 0 0 0
"раскрывается" 0 0 0 0 0
"раскрытие" 0 0 0 0 0
"рассказывает" 0.05 0 0 0 0
"реальных" 0.1 0 0 0 0
"революционеры" 0 0 0 0 0
"режиссёра" 0 0 0 0 0
"религиозные" 0 0 0 0 0
"рене" 0 0 0 0 0
"решение" 0 0 0 0 0
"рик" 0 0 0 0 0
"родителей" 0 0 0 0 0
"родители" 0 0 0 0 0
"родной" 0 0 0 0 0
"рождения" 0 0 0 0 0
"рокки" 0 0 0 0 0
"роль" 0.15 0.25 0.15 0.1 0
"романах" 0 0 0 0 0
"романе" 0 0 0 0 0
"романы" 0 0 0 0 0
"ромером" 0 0 0 0 0
"рон" 0 0 0 0 0
"российском" 0.05 0.1 0.05 0.05 0.05
"ротом" 0 0 0 0 0
"рэй" 0 0 0 0 0
"саги" 0 0 0 0 0
"салех" 0 0 0 0 0
"самым" 0.05 0.05 0.05 0 0
"самыми" 0 0 0 0 0
"сатира" 0 0 0 0.1 0.1
"саундтреком" 0 0 0 0 0
"сбежать" 0 0 0.05 0.05 0.05
"свадьбы" 0 0 0 0 0
"сверхспособностями" 0 0 0 0 0
"свои" 0.05 0 0 0 0
"своими" 0 0.05 0.05 0.05 0.05
"связана" 0 0 0 0 0
"сделал" 0 0 0 0 0
"сейчас" 0 0 0 0 0
"секс" 0 0 0 0.1 0.25
"сериалы" 0.05 0.05 0 0 0
"серии" 0 0.05 0.05 0.05 0
"сестер" 0 0 0 0 0
"скотт" 0 0 0 0 0
"скотта" 0 0 0 0 0
"скуку" 0 0 0 0 0
"следующие" 0 0 0 0 0
"следующий" 0 0 0 0 0
"слова" 0 0 0 0 0
"слово" 0 0 0 0 0
"случайно" 0 0 0 0 0
"смерть" 0 0 0 0 0
"сми" 0 0 0 0 0
"смог" 0 0 0 0 0
"сняла" 0 0 0 0 0
"снят" 0 0 0 0 0
"снятый" 0 0 0 0 0
"соавторстве" 0 0 0 0 0
"собирает" 0 0 0 0 0
"событий" 0.1 0 0.1 0.1 0.1
"событиях" 0 0 0 0 0
"совершает" 0 0 0 0 0
"сожалению" 0.05 0.05 0 0 0
"создаётся" 0 0 0 0 0
"создал" 0 0 0 0 0
"создатели" 0 0 0 0 0
"создать" 0 0 0 0 0
"солидный" 0 0 0 0 0
"сон" 0 0 0 0 0
"состояла" 0 0 0 0 0
"социальной" 0 0 0 0 0
"спасают" 0 0 0 0 0
"спасение" 0 0 0 0 0
"спасению" 0 0 0 0 0
"спасения" 0 0 0 0 0
"сразу" 0.05 0.05 0.05 0 0
"срез" 0 0 0 0 0
"стали" 0.1 0.1 0.05 0 0
"сталкиваются" 0 0 0 0 0
"становятся" 0 0 0 0 0
"стеклов" 0 0 0 0 0
"стилю" 0 0 0 0 0
"стран" 0 0 0 0 0
"странно" 0 0.05 0.1 0.1 0.1
"строго" 0 0 0.05 0.05 0.05
"студенткой" 0 0 0 0 0
"стэнтон" 0 0 0 0 0
"сук" 0 0 0 0 0
"суровых" 0 0 0 0 0
"сути" 0 0 0 0 0
"сходства" 0 0 0 0 0
"сцена" 0 0.05 0.1 0.1 0.1
"сценах" 0 0 0.05 0.05 0.05
"сцене" 0.05 0.05 0 0.05 0.1
"сцену" 0 0 0 0 0
"сша" 0 0 0 0 0
"сына" 0 0 0 0 0
"также" 0.05 0.05 0.05 0 0
"такого" 0.05 0.05 0 0 0
"таносом" 0 0 0 0 0
"те" 0 0 0 0 0
"тебе" 0 0 0 0 0
"тело" 0 0 0 0 0
"темы" 0 0 0 0 0
"теряется" 0 0 0 0 0
"тех" 0.05 0.05 0.1 0.1 0.05
"типичные" 0 0 0 0 0
"титры" 0 0 0 0 0
"тогда" 0.05 0 0 0 0
"тоже" 0 0 0 0 0
"тот" 0.05 0.05 0.05 0 0
"травмами" 0 0 0 0 0
"требует" 0 0 0 0 0
"тренер" 0 0.1 0.1 0.1 0.05
"тренера" 0 0.05 0.05 0.05 0
"третьей" 0 0 0 0 0
"трёх" 0 0 0 0 0
"триллера" 0 0 0 0 0
"тропу" 0 0 0 0 0
"трудом" 0 0 0 0 0
"тут" 0 0 0.1 0.1 0.15
"убийца" 0 0 0 0 0
"убитого" 0 0 0 0 0
"увлекается" 0 0 0 0 0
"удалось" 0 0 0 0 0
"удовольствие" 0 0 0 0 0
"удовольствием" 0 0 0 0 0
"ужасное" 0 0 0 0 0
"узок" 0 0 0 0 0
"уинтерботтом" 0 0 0 0 0
"уинтерботтома" 0 0 0 0 0
"уйти" 0 0 0 0 0
"умеет" 0 0 0 0 0
"уничтожает" 0 0 0 0 0
"урезана" 0 0 0 0 0
"уровне" 0 0 0 0 0
"усиливает" 0.05 0.05 0.05 0 0
"успеет" 0 0 0 0 0
"успех" 0 0 0 0 0
"устраивают" 0 0 0 0 0
"уходить" 0 0 0 0 0
"фазы" 0 0 0 0 0
"фантастический" 0 0 0 0 0
"фарс" 0 0 0 0 0
"феи" 0 0 0 0 0
"филипом" 0 0 0 0 0
"фильмографии" 0 0 0 0 0
"фильму" 0 0 0 0 0
"фильмы" 0 0 0 0 0
"франшизу" 0 0 0 0 0
"фредди" 0 0 0 0 0
"хилтон" 0 0 0 0 0
"ховард" 0 0 0 0 0
"хоррор" 0 0 0 0 0
"хорроров" 0 0 0 0 0
"хотел" 0 0 0 0 0
"хоть" 0.05 0 0 0 0
"хотят" 0.05 0.05 0.05 0.1 0.05
"хэнка" 0 0 0 0 0
"целой" 0 0 0 0 0
"целые" 0 0 0 0 0
"ценности" 0 0 0 0 0
"центре" 0 0 0 0 0
"цру" 0 0 0 0 0
"часто" 0.1 0.05 0 0 0.05
"частый" 0 0 0 0 0
"частью" 0 0 0.05 0.05 0.05
"чаще" 0 0 0 0 0.05
"человек" 0 0 0 0 0
"человеке" 0 0 0 0 0
"черты" 0 0 0 0 0
"честь" 0.05 0.05 0.05 0 0
"четвёртая" 0 0 0 0 0
"четверти" 0 0 0 0 0
"четвертой" 0 0 0 0 0
"числе" 0 0 0 0 0
"чрезвычайная" 0 0 0 0 0
"чуть" 0.1 0.1 0.05 0 0
"шоу" 0 0 0.05 0.05 0.15
"щи" 0 0 0 0 0
"экранизация" 0 0 0 0 0
"экранизировать" 0 0 0 0 0
"эксперимента" 0 0 0 0 0
"эксперименты" 0 0 0 0 0
"экшеном" 0 0 0 0 0
"эфрон" 0 0 0 0 0
"эффектно" 0 0 0 0 0
"юная" 0 0 0 0 0
"является" 0 0 0 0 0
"язык" 0 0 0 0 0
"янси" 0 0 0 0 0
"яркий" 0 0 0 0 0
"ярости" 0.05 0.05 0 0 0
"a" 0 0 0 0 0
"aaa" 0 0 0 0 0
"almost" 0 0 0 0 0
"amediateka" 0 0 0 0 0
"b" 0 0 0 0 0.05
"cgi" 0 0 0 0 0
"dc" 0 0 0 0 0
"diversity" 0 0 0 0 0
"dream" 0 0 0 0 0
"emo" 0 0 0 0 0
"etc" 0 0 0 0 0
"greedy" 0 0 0 0 0
"guy" 0 0 0 0 0
"hbo" 0 0 0 0 0
"high" 0 0 0 0 0
"in" 0 0 0 0 0
"k" 0 0 0 0 0
"normal" 0 0 0 0 0
"npc" 0 0 0 0 0
"playboy" 0 0 0 0 0
"pop" 0 0 0 0 0
"rolling" 0 0 0 0 0
"rpg" 0 0 0 0 0
"society" 0 0 0 0 0
"stone" 0 0 0 0 0
"summa" 0 0 0 0 0
"talks" 0 0 0 0 0
"tangerine" 0 0 0 0 0
"ted" 0 0 0 0 0
"the" 0 0 0 0 0
"topshop" 0 0 0 0 0
"tromperie" 0 0 0 0 0
"unfamiliar" 0 0 0 0 0
"vhs" 0 0 0 0 0
"vice" 0 0 0 0 0
"village" 0 0 0 0 0
"voice" 0 0 0 0 0
"xxi" 0 0 0 0 0
"ze" 0 0 0 0 0
"абрахам" 0 0 0 0 0
"абсолютным" 0 0 0 0 0
"авиалайнере" 0 0 0 0 0
"автогонки" 0 0 0 0 0
"авторами" 0.05 0.05 0 0.05 0.05
"авторов" 0.05 0.15 0.2 0.15 0.15
"авторского" 0 0 0 0 0
"авторской" 0 0 0 0 0
"автоспортом" 0 0 0 0 0
"агалакова" 0 0 0 0 0
"адаптировать" 0 0 0 0 0
"адриа" 0 0 0 0 0
"азиатский" 0 0 0 0 0
"акваланга" 0 0 0 0 0
"аккуратно" 0 0 0 0 0
"акопов" 0 0 0 0 0
"акопова" 0 0 0 0 0
"акоповым" 0 0 0 0 0
"акселерата" 0 0 0 0 0
"акте" 0 0 0 0 0
"актер" 0.05 0.05 0 0 0
"актеров" 0 0 0 0 0
"актерский" 0 0 0 0 0
"актеры" 0 0 0 0 0
"актуальными" 0 0 0 0 0
"акцент" 0 0 0 0 0
"акцентов" 0 0 0 0 0
"алби" 0 0 0 0 0
"алекс" 0 0 0 0 0
"аленом" 0 0 0 0 0
"алик" 0 0 0 0 0
"аликом" 0 0 0 0 0
"аллюзию" 0 0 0 0 0
"алчного" 0 0 0 0 0
"альтер" 0 0 0 0 0
"альфа" 0 0 0 0 0
"амазонки" 0 0 0 0 0
"амбиций" 0 0 0 0 0
"амбициозная" 0 0 0 0 0
"амбициозное" 0 0 0 0 0
"американка" 0 0 0 0 0
"американская" 0 0 0 0 0
"американский" 0 0 0 0 0
"американским" 0 0 0 0 0
"американских" 0 0 0 0 0
"американского" 0.05 0.05 0 0 0.05
"американской" 0 0 0 0 0
"американцах" 0 0 0 0 0
"америку" 0 0 0 0 0
"амитивилля" 0 0 0 0 0
"амплуа" 0 0 0 0 0
"амуниция" 0 0 0 0 0
"аналогию" 0 0 0 0 0
"английский" 0 0 0 0 0
"английских" 0 0 0 0 0
"ане" 0 0 0 0 0
"анимация" 0 0 0 0 0
"аниме" 0 0 0 0 0
"анри" 0 0 0 0 0
"антагониста" 0 0 0 0 0
"антагонистов" 0 0 0 0 0
"антея" 0 0 0 0 0
"антиклерикальной" 0 0 0 0 0
"антиколониальном" 0 0 0 0 0
"антисемитизма" 0 0 0 0 0
"антиутопия" 0 0 0 0 0
"антона" 0 0 0 0 0
"антрополог" 0 0 0 0 0
"анук" 0 0 0 0 0
"апофеозом" 0 0 0 0 0
"апроприации" 0 0 0 0 0
"аренду" 0 0 0 0 0
"арка" 0 0 0 0 0
"арки" 0 0 0 0 0
"армии" 0 0 0 0 0
"артёма" 0 0 0 0 0
"артефакты" 0 0 0 0 0
"артимия" 0 0 0 0 0
"артистов" 0.1 0.1 0.05 0.05 0
"архизлодеем" 0 0 0 0 0
"архона" 0 0 0 0 0
"аскетично" 0 0 0 0 0
"ассоциативному" 0 0 0 0 0
"ассоциировать" 0 0 0 0 0
"атмосферу" 0 0 0 0 0
"аттенборо" 0 0 0 0 0
"аттракцион" 0 0 0 0 0
"афганистан" 0 0 0 0 0
"африке" 0 0 0 0 0
"ашер" 0 0 0 0 0
"аэропорт" 0 0 0 0 0
"багров" 0 0 0 0 0
"базовую" 0 0 0 0 0
"базовый" 0 0 0 0 0
"баланс" 0 0 0 0 0
"балерину" 0 0 0 0 0
"балин" 0 0 0 0 0
"балканах" 0 0 0 0 0
"балканским" 0 0 0 0 0
"банды" 0 0 0 0 0
"барочному" 0 0 0 0 0
"бархом" 0 0 0 0 0
"беатрис" 0 0 0 0 0
"бегах" 0 0 0 0 0
"бегают" 0 0 0 0 0
"бегающий" 0 0 0 0 0
"беда" 0 0 0 0 0
"беде" 0 0 0 0 0
"бедные" 0 0 0 0 0
"бедой" 0 0 0 0 0
"бедокурящих" 0 0 0 0 0
"бежать" 0 0 0 0 0
"безвестности" 0 0 0 0 0
"бездействует" 0 0 0 0 0
"бездушный" 0 0 0 0 0
"безлики" 0 0 0 0 0
"безопасности" 0 0 0 0 0
"безрадостно" 0 0 0 0 0
"безрассудная" 0 0 0 0 0
"безумными" 0 0 0 0 0
"бейрутом" 0 0 0 0 0
"белкой" 0 0 0 0 0
"бело" 0 0 0 0 0
"белом" 0 0 0 0 0
"бен" 0 0 0 0 0
"бензопилой" 0 0 0 0 0
"берёт" 0 0 0 0 0
"берлине" 0 0 0 0 0
"берлинская" 0 0 0 0 0
"берлинский" 0 0 0 0 0
"берримор" 0 0 0 0 0
"берт" 0 0 0 0 0
"бесит" 0 0 0 0 0
"бескомпромиссную" 0 0 0 0 0
"бескомпромиссных" 0 0 0 0 0
"бескорыстно" 0 0 0 0 0
"бескорыстного" 0 0 0 0 0
"бесплатным" 0 0 0 0 0
"бесславно" 0 0 0 0 0
"бесславной" 0 0 0 0 0
"бессобытийных" 0 0 0 0 0
"бестолково" 0 0 0 0 0
"бесхарактерностью" 0 0 0 0 0
"бесчестье" 0 0 0 0 0
"бизнес" 0 0 0 0 0.05
"биограф" 0 0 0 0 0
"биографию" 0 0 0 0 0
"биография" 0 0 0 0 0
"биологической" 0 0 0 0 0
"битвы" 0 0 0 0 0
"благодетеля" 0 0 0 0 0
"благой" 0 0 0 0 0
"благополучно" 0 0 0 0 0
"благородного" 0 0 0 0 0
"блестящая" 0 0 0 0 0
"ближнего" 0 0 0 0 0
"близ" 0 0 0 0 0
"близкие" 0 0 0 0 0
"близких" 0 0 0 0 0
"близости" 0 0 0 0 0
"блокнот" 0 0 0 0 0
"блэкли" 0 0 0 0 0
"бо" 0 0 0 0 0
"бога" 0 0 0 0 0
"богат" 0 0 0 0 0
"богатого" 0 0 0 0 0
"богемы" 0 0 0 0 0
"богине" 0 0 0 0 0
"боевиков" 0 0 0 0 0
"боевой" 0 0 0 0 0
"боевые" 0 0 0 0 0
"боже" 0 0 0 0 0
"бои" 0 0 0 0 0
"боится" 0.05 0.05 0 0 0
"бойко" 0 0 0 0 0
"болезни" 0.15 0.05 0.05 0 0
"болтливое" 0 0 0 0 0
"болтовней" 0 0 0 0 0
"больной" 0 0 0 0 0
"большей" 0 0 0 0 0
"большие" 0 0 0 0 0
"большинстве" 0.05 0.05 0.05 0.05 0
"большое" 0 0 0 0 0
"большому" 0 0 0 0 0
"борис" 0 0 0 0 0
"бориса" 0 0 0 0 0
"борисоакоповской" 0 0 0 0 0
"бороться" 0 0.05 0.05 0.05 0
"борьбе" 0 0 0 0 0
"борьбу" 0 0 0 0 0
"борются" 0 0 0 0 0
"борющейся" 0 0 0 0 0
"боулу" 0 0 0 0 0
"боя" 0 0 0 0 0
"браку" 0 0 0 0 0
"брата" 0.05 0.05 0 0 0
"бремя" 0 0 0 0 0
"британски" 0 0 0 0 0
"британскому" 0 0 0 0 0
"брутально" 0 0 0 0 0
"брутальный" 0 0 0 0 0
"брюхом" 0 0 0 0 0
"будущем" 0.05 0.05 0.1 0.15 0.1
"бунт" 0 0 0 0 0
"бури" 0 0 0 0 0
"буркот" 0 0 0 0 0
"буслова" 0 0 0 0 0
"бутиков" 0 0 0 0 0
"бывали" 0 0 0 0 0
"бывают" 0 0 0 0 0
"бывшая" 0 0 0 0 0
"бывшего" 0 0 0 0 0
"бывшую" 0 0 0 0 0
"быстродействующего" 0 0 0 0 0
"быстрые" 0 0 0 0 0
"быта" 0 0 0 0 0
"бьющее" 0 0 0 0 0
"бэтсона" 0 0 0 0 0
"бюджет" 0 0 0 0 0
"бюрократию" 0 0 0 0 0
"важном" 0 0 0 0 0
"важности" 0 0 0 0 0
"важный" 0 0 0 0 0
"варианта" 0 0 0 0 0
"вариациями" 0 0 0 0 0
"ватсон" 0 0 0 0 0
"вводит" 0 0 0 0 0
"вдова" 0 0 0 0 0
"вдохновила" 0 0 0 0 0
"вдохновлен" 0 0 0 0 0
"вдруг" 0.1 0.1 0.1 0 0
"веб" 0 0 0 0 0
"ведения" 0 0 0 0 0
"ведовской" 0 0 0 0 0
"ведром" 0 0 0 0 0
"ведут" 0 0 0 0 0
"ведущую" 0 0 0 0 0
"вежливого" 0 0 0 0 0
"везде" 0 0 0 0 0
"века" 0 0 0 0 0
"вел" 0 0 0 0 0
"велик" 0 0 0 0 0
"великое" 0 0 0 0 0
"венесуэлы" 0 0 0 0 0
"веревки" 0 0 0 0 0
"веревку" 0 0 0 0 0
"верит" 0 0 0 0 0
"вернувшаяся" 0 0 0 0 0
"вернувшемся" 0 0 0 0 0
"вернулась" 0 0 0 0 0
"вернулся" 0 0 0 0 0
"вероятная" 0 0 0 0 0
"вероятно" 0 0 0 0 0
"вероятность" 0 0 0 0 0
"версии" 0 0.05 0.05 0.05 0.05
"верящие" 0 0 0 0 0
"весны" 0 0 0 0 0
"весомый" 0 0 0 0 0
"весомых" 0 0 0 0 0
"веста" 0 0 0 0 0
"весь" 0 0 0 0 0
"ветер" 0 0 0 0 0
"ветерана" 0 0 0 0 0
"ветерка" 0 0 0 0 0
"ветерком" 0 0 0 0 0
"ветка" 0 0 0 0 0
"веткой" 0 0 0 0 0
"вечера" 0 0 0 0 0
"вечно" 0 0 0 0 0
"вешают" 0 0 0 0 0
"вещество" 0 0 0 0 0
"взаимодействие" 0 0 0 0 0
"взаимоотношений" 0 0 0 0 0
"взамен" 0 0 0 0.05 0.05
"взросления" 0 0 0 0 0
"взрывается" 0 0 0 0 0
"взрываются" 0 0 0 0 0
"взрывного" 0 0 0 0 0
"взявшая" 0 0 0 0 0
"взялись" 0 0 0 0 0
"взялся" 0 0 0 0 0
"виго" 0 0 0 0 0
"видео" 0 0 0 0 0
"видеоигры" 0 0 0 0 0
"видеть" 0 0 0 0 0
"видим" 0 0 0 0 0
"видимых" 0 0 0 0 0
"видна" 0 0 0 0 0
"визуальную" 0 0 0 0 0
"виктория" 0 0 0 0 0
"винит" 0 0 0 0 0
"виноват" 0 0 0 0 0
"виной" 0 0 0 0 0
"виртуального" 0 0 0 0 0
"вклад" 0 0 0 0 0
"включенность" 0 0 0 0 0
"владелец" 0 0 0 0 0
"владычица" 0 0 0 0 0
"влечения" 0 0 0 0 0
"вне" 0 0 0 0 0
"внебрачные" 0 0 0 0 0
"вневременном" 0 0 0 0 0
"внешний" 0 0.05 0.05 0.05 0.05
"внешностью" 0 0 0 0 0
"внимательный" 0 0 0 0 0
"вновь" 0.05 0.05 0.05 0 0
"внук" 0 0 0 0 0
"внука" 0 0 0 0 0
"внутренний" 0 0 0 0 0
"внутренним" 0 0 0 0 0
"внутренними" 0 0 0 0 0
"внушают" 0 0 0 0 0
"внушил" 0 0 0 0 0
"внушительного" 0 0 0 0 0
"вовремя" 0 0 0 0 0
"водах" 0 0 0 0 0
"воде" 0 0 0 0 0
"водных" 0 0 0 0 0
"водятся" 0 0 0 0 0
"воедино" 0 0 0 0 0
"военкорром" 0 0 0 0 0
"военной" 0 0 0 0 0
"военный" 0 0 0 0 0
"вождения" 0 0 0 0 0
"возвращать" 0 0 0 0 0
"возвращению" 0 0 0 0 0
"возвращения" 0 0 0 0 0
"возвышеннее" 0 0 0 0 0
"возглавившая" 0 0 0 0 0
"воздвигавшему" 0 0 0 0 0
"возлюбленной" 0.05 0.05 0 0 0
"возможностей" 0 0 0 0 0
"возможность" 0.05 0.05 0.05 0 0
"возобновляется" 0 0 0 0 0
"возраст" 0 0 0 0 0
"возраста" 0 0 0 0 0
"возрасте" 0 0 0 0 0
"войн" 0 0 0 0 0
"войной" 0.05 0 0 0 0
"войну" 0 0 0 0 0
"волну" 0 0 0 0 0
"волнуют" 0 0 0 0 0
"волокницкого" 0 0 0 0 0
"волшебном" 0 0 0 0 0
"волшебный" 0 0 0 0 0
"вольво" 0 0 0 0 0
"волю" 0 0 0 0 0
"вооружённых" 0 0 0 0 0
"вопросов" 0 0 0 0 0
"вопросы" 0.05 0.05 0 0.05 0.05
"воришками" 0 0 0 0 0
"воскликнуть" 0 0 0 0 0
"воспитай" 0 0 0 0 0
"воспитывает" 0 0 0 0 0
"воспламеняющей" 0 0 0 0 0
"воспоминания" 0 0 0 0 0
"восприняли" 0 0 0 0 0
"воссоединиться" 0 0 0 0 0
"воссоздавать" 0 0 0 0 0
"воссоздающий" 0 0 0 0 0
"восстановить" 0 0 0 0 0
"востока" 0 0 0 0 0
"восточной" 0 0 0 0 0
"восточную" 0 0 0 0 0
"восхищение" 0 0 0 0 0
"впечатляет" 0 0 0 0 0
"впитывать" 0 0 0 0 0
"вплоть" 0 0 0 0 0
"впоследствии" 0 0 0 0 0
"врагов" 0 0 0 0 0
"вратарь" 0 0 0 0 0
"вратаря" 0 0 0 0 0
"врач" 0.15 0.05 0 0 0
"времен" 0.05 0.05 0.05 0.05 0
"вселенную" 0 0 0 0 0
"вселенных" 0 0 0 0 0
"всепобеждающей" 0 0 0 0 0
"вскрытие" 0 0 0 0 0
"вслед" 0.05 0.05 0.05 0.05 0
"вспоминает" 0 0 0 0 0
"вспомнит" 0 0 0 0 0
"вспомнить" 0 0 0 0 0
"встречает" 0 0 0 0 0
"вступают" 0 0 0 0 0
"вступления" 0 0 0 0 0
"всюду" 0 0 0 0 0
"вся" 0 0 0 0 0
"всяких" 0 0 0 0 0
"всякому" 0 0 0 0 0
"всячески" 0 0 0 0 0
"всяческого" 0 0 0 0 0
"всяческую" 0 0 0 0 0
"вторично" 0 0 0 0 0
"втором" 0 0 0 0 0
"второму" 0 0 0 0 0
"второстепенных" 0 0 0 0 0
"вторым" 0 0 0 0 0
"вторящего" 0 0 0 0 0
"ву" 0 0 0 0 0
"входе" 0 0 0 0 0
"выбиваются" 0 0 0 0 0
"выброшенный" 0 0 0 0 0
"вывозить" 0 0 0 0 0
"выглядела" 0 0 0 0 0
"выгоды" 0 0 0 0 0
"выдумать" 0 0 0 0 0
"выжили" 0 0 0 0 0
"вызволить" 0 0 0 0 0
"вызывают" 0 0 0 0 0
"выйти" 0 0 0 0 0
"выключает" 0 0 0 0 0
"выкрасть" 0 0 0 0 0
"выкупа" 0 0 0 0 0
"выливается" 0 0 0 0 0
"вымороченной" 0 0 0 0 0
"вымученным" 0 0 0 0 0
"вымысла" 0 0 0 0 0
"вымышленный" 0 0 0 0 0
"вымышлены" 0 0 0 0 0
"вынудило" 0 0 0 0 0
"вынудит" 0 0 0 0 0
"вынуждает" 0 0 0 0 0
"вынужден" 0 0 0 0 0
"выписанные" 0 0 0 0 0
"выполнил" 0 0 0 0 0
"выполнить" 0 0 0 0 0
"выполняющее" 0 0 0 0 0
"выпустив" 0 0 0 0 0
"выпученными" 0 0 0 0 0
"выражению" 0 0 0 0 0
"выразителен" 0 0 0 0 0
"выразительности" 0 0 0 0 0
"высока" 0 0 0 0 0
"высоких" 0 0 0 0 0
"высоком" 0 0 0 0 0
"высокопоставленным" 0 0 0 0 0
"высоте" 0 0 0 0 0
"выстрела" 0 0 0 0 0
"выходя" 0 0 0 0 0
"выходят" 0 0 0 0 0
"вышедшим" 0 0 0 0 0
"вышедших" 0 0 0 0 0
"вышла" 0.05 0.05 0.05 0 0
"выявляются" 0 0 0 0 0
"выяснить" 0 0 0 0 0
"вьетнамские" 0 0 0 0 0
"вюйар" 0 0 0 0 0
"вязко" 0 0 0 0 0
"вязкое" 0 0 0 0 0
